option 1)Benchmark-> benchmark option 2) Stress in single thread option 3) Stress in multiple thread 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
   1024,   1024,   1024,        0.06304,          34.07,
   1024,   1024,   2048,        0.05139,          83.57,
   1024,   1024,   3072,         0.0729,          88.38,
   1024,   1024,   4096,         0.1659,          51.78,
   1024,   1024,   5120,         0.2053,          52.31,
   2048,   2048,   1024,        0.09267,          92.69,
   2048,   2048,   2048,         0.1679,          102.3,
   2048,   2048,   3072,         0.2458,          104.9,
   2048,   2048,   4096,         0.3221,          106.7,
   2048,   2048,   5120,         0.3962,          108.4,
   3072,   3072,   1024,           0.18,          107.4,
   3072,   3072,   2048,           0.33,          117.1,
   3072,   3072,   3072,         0.4812,          120.5,
   3072,   3072,   4096,         0.6341,          121.9,
   3072,   3072,   5120,         0.7867,          122.8,
   4096,   4096,   1024,         0.3536,          97.16,
   4096,   4096,   2048,         0.6615,          103.9,
   4096,   4096,   3072,         0.9722,            106,
   4096,   4096,   4096,           1.28,          107.4,
   4096,   4096,   5120,          1.587,          108.2,
   5120,   5120,   1024,         0.6079,          88.32,
   5120,   5120,   2048,          1.092,          98.35,
   5120,   5120,   3072,          1.455,          110.7,
   5120,   5120,   4096,          1.915,          112.2,
   5120,   5120,   5120,          2.372,          113.2,
   6144,   6144,   1024,         0.9476,          81.59,
   6144,   6144,   2048,          1.331,          116.1,
   6144,   6144,   3072,          1.961,          118.3,
   6144,   6144,   4096,          2.576,            120,
   6144,   6144,   5120,          3.187,          121.3,
   7168,   7168,   1024,          1.302,          80.79,
   7168,   7168,   2048,          1.871,          112.5,
   7168,   7168,   3072,          2.703,          116.8,
   7168,   7168,   4096,          3.538,            119,
   7168,   7168,   5120,          4.381,          120.1,
   8192,   8192,   1024,          1.399,          98.27,
   8192,   8192,   2048,          2.514,          109.4,
   8192,   8192,   3072,          3.593,          114.8,
   8192,   8192,   4096,          4.715,          116.6,
   8192,   8192,   5120,          5.837,          117.7,
   9216,   9216,   1024,          1.779,          97.79,
   9216,   9216,   2048,          3.152,          110.4,
   9216,   9216,   3072,          4.604,          113.4,
   9216,   9216,   4096,          5.995,          116.1,
   9216,   9216,   5120,          7.447,          116.8,
  10240,  10240,   1024,          3.299,           65.1,
  10240,  10240,   2048,          4.053,            106,
  10240,  10240,   3072,          5.572,          115.6,
  10240,  10240,   4096,          7.303,          117.6,
  10240,  10240,   5120,          9.024,            119,
  11264,  11264,   1024,          3.023,          85.95,
  11264,  11264,   2048,          5.112,          101.7,
  11264,  11264,   3072,          7.045,          110.7,
  11264,  11264,   4096,          9.543,          108.9,
  11264,  11264,   5120,          12.44,          104.4,
  12288,  12288,   1024,          3.287,          94.08,
  12288,  12288,   2048,          6.595,          93.77,
  12288,  12288,   3072,          9.081,          102.2,
  12288,  12288,   4096,          11.75,          105.3,
  12288,  12288,   5120,           14.3,          108.1,
  13312,  13312,   1024,          4.016,          90.36,
  13312,  13312,   2048,          7.738,           93.8,
  13312,  13312,   3072,          11.38,          95.65,
  13312,  13312,   4096,          15.13,          95.97,
  13312,  13312,   5120,           18.5,          98.08,
  14336,  14336,   1024,          4.667,          90.19,
  14336,  14336,   2048,          9.403,          89.52,
  14336,  14336,   3072,          14.56,          86.75,
  14336,  14336,   4096,          18.34,          91.82,
  14336,  14336,   5120,          23.13,          90.98,
  15360,  15360,   1024,          5.294,          91.27,
  15360,  15360,   2048,          11.03,          87.61,
  15360,  15360,   3072,          17.73,          81.76,
  15360,  15360,   4096,          22.94,          84.25,
  15360,  15360,   5120,          27.46,          87.97,
  16384,  16384,   1024,           6.04,          91.02,
  16384,  16384,   2048,          12.98,          84.69,
  16384,  16384,   3072,          21.47,          76.82,
  16384,  16384,   4096,          27.71,          79.37,
  16384,  16384,   5120,          34.09,          80.62,
  17408,  17408,   1024,          6.913,          89.78,
  17408,  17408,   2048,          14.86,          83.53,
  17408,  17408,   3072,          25.64,          72.62,
  17408,  17408,   4096,          32.05,          77.45,
  17408,  17408,   5120,          40.84,          75.99,
  18432,  18432,   1024,          7.721,          90.11,
  18432,  18432,   2048,          20.87,          66.69,
  18432,  18432,   3072,          29.55,          70.64,
  18432,  18432,   4096,          38.77,          71.78,
  18432,  18432,   5120,          48.01,          72.46,
  19456,  19456,   1024,          8.366,          92.67,
  19456,  19456,   2048,          19.36,          80.09,
  19456,  19456,   3072,          33.66,          69.09,
  19456,  19456,   4096,          43.99,          70.49,
  19456,  19456,   5120,          52.17,           74.3,
  20480,  20480,   1024,          9.576,           89.7,
  20480,  20480,   2048,           21.8,          78.79,
  20480,  20480,   3072,          36.54,          70.52,
  20480,  20480,   4096,          48.65,          70.63,
  20480,  20480,   5120,          60.12,          71.44,
  21504,  21504,   1024,          10.28,          92.09,
  21504,  21504,   2048,          24.46,          77.42,
  21504,  21504,   3072,          41.56,          68.36,
  21504,  21504,   4096,          52.93,          71.57,
  21504,  21504,   5120,          65.98,          71.77,
  22528,  22528,   1024,          11.18,          92.95,
  22528,  22528,   2048,          26.76,          77.68,
  22528,  22528,   3072,          45.41,          68.67,
  22528,  22528,   4096,          59.12,          70.33,
  22528,  22528,   5120,           69.8,          74.46,
  23552,  23552,   1024,          12.25,          92.73,
  23552,  23552,   2048,          29.92,          75.95,
  23552,  23552,   3072,          49.79,          68.44,
  23552,  23552,   4096,          64.82,           70.1,
  23552,  23552,   5120,          79.32,          71.61,
  24576,  24576,   1024,          13.41,          92.21,
  24576,  24576,   2048,          30.79,          80.35,
  24576,  24576,   3072,          54.67,          67.88,
  24576,  24576,   4096,          71.25,          69.44,
  24576,  24576,   5120,          86.96,          71.12,
  25600,  25600,   1024,          14.64,          91.67,
  25600,  25600,   2048,          32.95,          81.46,
  25600,  25600,   3072,          58.97,          68.28,
  25600,  25600,   4096,           75.5,          71.11,
  25600,  25600,   5120,          94.58,          70.95,
[Peak TFLOPS]=122.8, m=n=3072, k=5120
Num GPU->6 
GPU->2 
GPU->4 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
GPU->3 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
GPU->0 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
GPU->1 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
GPU->5 
[TensorCore FP16(FP16 accumulation) Time and TFLOPS Result]
      m      n      k    Time (msec)         TFLOPS
